chineseName,spriteName
完成教程,card_monster_1001
首领杀手 1 海尔姆战士,herocard_retinue_1009
首领杀手 2 海尔姆战士,herocard_retinue_1009
首领杀手 3 海尔姆战士,herocard_retinue_1009
首领杀手 1 卡利姆法师,card_retinue_1040
首领杀手 2 卡利姆法师,card_retinue_1040
首领杀手 3 卡利姆法师,card_retinue_1040
谁在放狗？,herocard_retinue_1037
铁墙,card_monster_1007
食人魔帕特,card_boss_1001
反击是什么？,card_monster_1019
有趣的互动,card_monster_1020
修身剪裁,card_monster_1011
越大越好,card_monster_1010
午休,card_monster_1009
要快！,card_monster_1013
空间控制,card_monster_1022
稳住！,card_monster_1012
真正的英雄,card_elite_1004
投资,card_retinue_1045
毁灭者,card_monster_1027
匆忙,herocard_retinue_1017
决心,card_monster_1032
收割者,card_monster_1030
真正的力量,card_skill_1008
加快节奏,card_retinue_1012
好多野猪,card_monster_1013
泰坦之力,card_monster_1015
魔术技法,card_retinue_1017
快速治疗,card_retinue_1013
猛攻,card_monster_1007
到达地牢残暴程度10级,card_retinue_1015
首领杀手,card_elite_1001
双首领杀手,card_boss_1002
九头蛇杀手,card_boss_1003
梦魇大师,card_skill_1010
冬季信使,card_skill_1011
