chineseName,spriteName
Red01,herocard_retinue_1002
Red02,herocard_retinue_1002
Red03,herocard_retinue_1002
Red03d,herocard_retinue_1002
Red04,card_monster_1010
Red05,card_monster_1010
Red06,card_monster_1010
Red06d,card_monster_1010
Red13,herocard_retinue_1003
Red14,herocard_retinue_1003
Red15,herocard_retinue_1003
Red15d,herocard_retinue_1003
Red16,herocard_retinue_1006
Red17,herocard_retinue_1006
Red18,herocard_retinue_1006
Red18d,herocard_retinue_1006
Red22,herocard_retinue_1037
Red50,herocard_retinue_1014
Red51,herocard_retinue_1014
Red52,herocard_retinue_1014
Red52d,herocard_retinue_1014
Red67,herocard_retinue_1015
Red68,herocard_retinue_1015
Red69,herocard_retinue_1015
Red69d,herocard_retinue_1015
Red112,herocard_retinue_1008
Red113,herocard_retinue_1008
Red114,herocard_retinue_1008
Red114d,herocard_retinue_1008
Red40,herocard_retinue_1009
Red41,herocard_retinue_1009
Red42,herocard_retinue_1009
Red42d,herocard_retinue_1009
Red46,herocard_retinue_1010
Red47,herocard_retinue_1010
Red48,herocard_retinue_1010
Red48d,herocard_retinue_1010
Red10,herocard_retinue_1020
Red11,herocard_retinue_1020
Red12,herocard_retinue_1020
Red12d,herocard_retinue_1020
Red106,herocard_retinue_1012
Red107,herocard_retinue_1012
Red108,herocard_retinue_1012
Red108d,herocard_retinue_1012
Red109,herocard_retinue_1001
Red110,herocard_retinue_1001
Red111,herocard_retinue_1001
Red111d,herocard_retinue_1001
Red91,herocard_retinue_1013
Red92,herocard_retinue_1013
Red93,herocard_retinue_1013
Red34,herocard_retinue_1004
Red35,herocard_retinue_1004
Red36,herocard_retinue_1004
Red36d,herocard_retinue_1004
Red100,herocard_retinue_1007
Red101,herocard_retinue_1007
Red102,herocard_retinue_1007
Red102d,herocard_retinue_1007
Red73,herocard_retinue_1036
Red74,herocard_retinue_1036
Red75,herocard_retinue_1036
Red76,herocard_retinue_1005
Red77,herocard_retinue_1005
Red78,herocard_retinue_1005
Red78d,herocard_retinue_1005
Red64,herocard_retinue_1016
Red65,herocard_retinue_1016
Red66,herocard_retinue_1016
Red66d,herocard_retinue_1016
Red85,herocard_retinue_1017
Red86,herocard_retinue_1017
Red87,herocard_retinue_1017
Red87d,herocard_retinue_1017
Red94,herocard_retinue_1018
Red94Copy,herocard_retinue_1018
Red95,herocard_retinue_1018
Red96,herocard_retinue_1018
Red96a,herocard_retinue_1018
Red96e,herocard_retinue_1018
Red96f,herocard_retinue_1018
Red118,herocard_retinue_1027
Red119,herocard_retinue_1027
Red120,herocard_retinue_1027
Red120d,herocard_retinue_1027
Red31,card_retinue_1037
Red32,card_retinue_1037
Red33,card_retinue_1038
Red43,herocard_retinue_1011
Red44,herocard_retinue_1011
Red45,herocard_retinue_1011
Red45d,herocard_retinue_1011
Red56,herocard_retinue_1035
Red57,herocard_retinue_1035
Red58,herocard_retinue_1035
Red58d,herocard_retinue_1035
Red59,herocard_retinue_1041
Red59Enemy,herocard_retinue_1041
Red60,herocard_retinue_1041
Red61,herocard_retinue_1021
Red62,herocard_retinue_1021
Red63,herocard_retinue_1021
Red63d,herocard_retinue_1021
Red88,herocard_retinue_1022
Red89,herocard_retinue_1022
Red90,herocard_retinue_1022
Red103,herocard_retinue_1024
Red104,herocard_retinue_1024
Red104a,herocard_retinue_1042
Red104b,herocard_retinue_1042
Red104c,herocard_retinue_1042
Red104d,herocard_retinue_1042
Red105,herocard_retinue_1024
Red105d,herocard_retinue_1024
Red28,herocard_retinue_1025
Red29,herocard_retinue_1025
Red30,herocard_retinue_1025
Red79,herocard_retinue_1026
Red80,herocard_retinue_1026
Red81,herocard_retinue_1026
Red81d,herocard_retinue_1026
Red97,herocard_retinue_1019
Red98,herocard_retinue_1019
Red99,herocard_retinue_1019
Red99d,herocard_retinue_1019
Redn100a,herocard_retinue_1038
Redn100b,herocard_retinue_1038
Redn100c,herocard_retinue_1038
Redn100d,herocard_retinue_1038
Redn101a,herocard_retinue_1039
Redn101b,herocard_retinue_1039
Redn101c,herocard_retinue_1039
Redn101d,herocard_retinue_1039
Redn102a,herocard_retinue_1040
Redn102b,herocard_retinue_1040
Redn102c,herocard_retinue_1040
Red103a,card_monster_1002
Red103b,card_monster_1002
Red103c,card_monster_1002
Red103d,card_monster_1002
Treasure01,herocard_skill_2045
Treasure13,herocard_retinue_1028
Treasure18,herocard_retinue_1029
Treasure20,herocard_retinue_1030
Treasure17,herocard_retinue_1031
Treasure14,herocard_equip_1005
Treasure14a,herocard_equip_1005
Treasure26,herocard_retinue_1033
Treasure25,herocard_retinue_1034
Treasure19,herocard_retinue_1043
Treasure28,herocard_retinue_1044
Treasure30,herocard_retinue_1023
Warrior02,herocard_equip_1001
Warrior02Copy,herocard_equip_1001
Warrior03,herocard_equip_1001
Warrior03Copy,herocard_equip_1001
Warrior04,herocard_equip_1001
Warrior04d,herocard_equip_1001
Warrior04Copy,herocard_equip_1001
Warrior08,herocard_equip_1002
Warrior09,herocard_equip_1002
Warrior08,herocard_equip_1002
Warrior09,herocard_equip_1002
Warrior10,herocard_equip_1002
Warrior10d,herocard_equip_1002
Warrior103,herocard_equip_1003
Warrior104,herocard_equip_1003
Warrior105,herocard_equip_1003
Warrior105d,herocard_equip_1003
Warrior100,herocard_equip_1004
Warrior101,herocard_equip_1004
Warrior102,herocard_equip_1004
Warrior102d,herocard_equip_1004
warrior001a,herocard_equip_1008
warrior001b,herocard_equip_1008
warrior001c,herocard_equip_1008
warrior001d,herocard_equip_1008
warrior002a,herocard_equip_1011
warrior002b,herocard_equip_1011
warrior002c,herocard_equip_1011
warrior002d,herocard_equip_1011
warrior003a,herocard_equip_1012
warrior003b,herocard_equip_1012
warrior003c,herocard_equip_1012
warrior003d,herocard_equip_1012
wwSharkPaulcopy,herocard_retinue_1044
Warrior11,herocard_equip_1009
Warrior12,herocard_equip_1009
Warrior13,herocard_equip_1009
Warrior13d,herocard_equip_1009
Treasure08,herocard_retinue_1032
Treasure31,herocard_equip_1010
Warrior1000,herocard_skill_1015
Treasure06,herocard_skill_1001
Warrior22,herocard_skill_1017
