ID,group,position,备注
1,101,"-480,-93",出城堡
2,101,"-361,-282",出城堡
3,102,"-476,80",出城堡
4,102,"-245,7",出城堡
5,102,"-199,-156",出城堡
7,103,"0,180",伐木场
8,103,"120,-10",伐木场
9,103,"158,210",伐木场
10,104,"400,76",伐木场
11,104,"480,227",伐木场
12,104,"545,23",伐木场
13,111,"262,164",船坞
14,111,"195,222",船坞
15,112,"-115,180",船坞
16,112,"80,80",船坞
19,113,"51,-145",船坞
20,113,"-77,-244",船坞
21,113,"78,-321",船坞
22,114,"206,-56",船坞
23,114,"230,-240",船坞
24,115,"347,-114",船坞
25,115,"473,-245",船坞
26,115,"600,-100",船坞
27,121,"209,195",农场
28,121,"35,162",农场
29,122,"-88,46",农场
30,122,"-162,201",农场
31,122,"-327,107",农场
33,123,"-593,136",农场
34,123,"-729,85",农场
35,124,"-707,260",农场
36,124,"-565,313",农场
37,124,"-423,255",农场
38,125,"-280,323",农场
39,125,"-81,301",农场
40,131,"228,120",出城
41,131,"310,208",出城
42,131,"347,245",出城
43,131,"492,215",出城
44,201,"-513,-56",商队
45,201,"-324,-130",商队
46,202,"-370,0",商队
47,202,"-220,104",商队
48,203,"-500,150",商队
49,203,"-354,210",商队
50,203,"-452,350",商队
51,211,"-237,331",绿洲
52,211,"-75,265",绿洲
53,212,"-116,0",绿洲
54,212,"72,-30",绿洲
55,212,"-12,94",绿洲
56,212,"115,228",绿洲
57,213,"373,-125",绿洲
58,221,"544,-54",BOSS
59,221,"552,-245",BOSS
60,222,"397,60",BOSS
61,222,"207,69",BOSS
62,222,"294,214",BOSS
63,301,"-301,-18",妙蛙花
64,301,"-158,-80",妙蛙花
65,302,"-474,-53",妙蛙花
66,302,"-745,22",妙蛙花
67,302,"-601,115",妙蛙花
68,302,"-425,180",妙蛙花
69,303,"-761,198",妙蛙花
70,303,"-676,350",妙蛙花
71,303,"-525,305",妙蛙花
72,303,"-366,366",妙蛙花
73,304,"-266,185",妙蛙花
74,304,"-129,125",妙蛙花
75,304,"60,315",妙蛙花
76,311,"-392,-223",前往冰剑
77,311,"-170,-341",前往冰剑
78,312,"282,-198",前往冰剑
79,312,"368,-341",前往冰剑
80,312,"464,-120",前往冰剑
81,312,"659,-137",前往冰剑
82,312,"716,86",前往冰剑
83,313,"415,196",前往黑水晶城堡
84,313,"289,46",前往黑水晶城堡
85,313,"162,82",前往黑水晶城堡
86,313,"163,-91",前往黑水晶城堡
87,313,"179,-325",前往黑水晶城堡
88,321,"13,90",前往黑水晶城堡
89,321,"148,171",前往黑水晶城堡
1001,1101,"-160,213",拉长石矿区
1002,1101,"-236,61",拉长石矿区
1003,1101,"-435,231",拉长石矿区
1004,1102,"-577,120",拉长石矿区
1005,1102,"-410,40",拉长石矿区
1006,1102,"-503,-82",拉长石矿区
1007,1103,"-319,-115",拉长石矿区
1008,1103,"-440,-255",拉长石矿区
1009,1104,"-627,-230",拉长石矿区
1010,1104,"-778,-286",拉长石矿区
1011,1104,"-791,-101",拉长石矿区
1012,1111,"-483,-270",拉长石矿区
1013,1111,"-318,-349",拉长石矿区
1014,1112,"180,-283",拉长石矿区
1015,1112,"-124,-116",拉长石矿区
1016,1112,"-7,-242",拉长石矿区
1017,1113,"148,7",拉长石矿区
1018,1113,"135,-186",拉长石矿区
1019,1113,"278,-105",拉长石矿区
1020,1114,"212,212",拉长石矿区
1021,1114,"317,77",拉长石矿区
1022,1114,"503,53",拉长石矿区
1023,1201,"-557,414",
1024,1201,"-340,407",
1025,1202,"-132,388",
1026,1202,"-210,235",
1027,1203,"-500,150",
1028,1203,"-354,210",
1029,1203,"-452,350",
1030,1211,"-262,71",
1031,1211,"-360,-105",
1032,1212,"-116,-19",
1033,1212,"72,-40",
1034,1212,"-12,94",
1035,1212,"115,228",
1036,1213,"367,-145",
1037,1221,"457,-125",
1038,1221,"552,-245",
1039,1222,"387,60",
1040,1222,"207,69",
1041,1222,"294,214",
1042,1301,"-301,-18",妙蛙花
1043,1301,"-158,-80",妙蛙花
1044,1302,"-474,-53",妙蛙花
1045,1302,"-745,22",妙蛙花
1046,1302,"-601,115",妙蛙花
1047,1302,"-425,180",妙蛙花
1048,1303,"-761,198",妙蛙花
1049,1303,"-676,350",妙蛙花
1050,1303,"-525,305",妙蛙花
1051,1303,"-366,366",妙蛙花
1052,1304,"-266,185",妙蛙花
1053,1304,"-129,125",妙蛙花
1054,1304,"60,315",妙蛙花
1055,1311,"-392,-223",前往冰剑
1056,1311,"-170,-341",前往冰剑
1057,1312,"282,-198",前往冰剑
1058,1312,"368,-341",前往冰剑
1059,1312,"464,-120",前往冰剑
1060,1312,"659,-137",前往冰剑
1061,1312,"716,86",前往冰剑
1062,1313,"415,196",前往黑水晶城堡
1063,1313,"289,46",前往黑水晶城堡
1064,1313,"162,82",前往黑水晶城堡
1065,1313,"163,-91",前往黑水晶城堡
1066,1313,"179,-325",前往黑水晶城堡
1067,1321,"13,90",前往黑水晶城堡
1068,1321,"148,171",前往黑水晶城堡
