Key,Type,Desc,English,Chinese,ChineseTraditional,German,Portuguese,Russian,Italian,Spanish,Polish,Japanese,Korean,Vietnamese,French
+1 ManaCardDescription,Text,,,,,,,,,,,,,,
+1 ManaCardName,Text,,Mana +1,,,,,,,,,,,,
+1 PowerCardDescription,Text,,,,,,,,,,,,,,
+1 PowerCardName,Text,,Unit ATK +1,- 单位+1攻击力,- 單位+1攻擊力,,,,,,,#NAME?,,,
+2 HP ADJCardDescription,Text,,,,,,,,,,,,,,
+2 HP ADJCardName,Text,,HP ADJ +2,,,,,,,,,,,,
+2 HPCardDescription,Text,,,,,,,,,,,,,,
+2 HPCardName,Text,,Unit HP +2,- 单位+2生命值,- 單位+2生命值,,,,,,,#NAME?,,,
+2 Power HeroCardDescription,Text,,,,,,,,,,,,,,
+2 Power HeroCardName,Text,,Hero ATK in this turn +2,- 本回合英雄获得+2攻击力,- 本回合英雄獲得+2攻擊力,,,,,,,#NAME?,,,
-1 HPCardDescription,Text,,,,,,,,,,,,,,
-1 HPCardName,Text,,HP -1,,,,,,,,,,,,
-1 ManaCardDescription,Text,,,,,,,,,,,,,,
-1 ManaCardName,Text,,Mana -1,,,,,,,,,,,,
-1 MoveCardDescription,Text,,,,,,,,,,,,,,
-1 MoveCardName,Text,,Move -1,,,,,,,,,,,,
-1 PowerCardDescription,Text,,,,,,,,,,,,,,
-1 PowerCardName,Text,,Unit ATK+1,- 单位-1攻击力,- 單位-1攻擊力,,,,,,,#NAME?,,,
-2 HP ADJCardDescription,Text,,,,,,,,,,,,,,
-2 HP ADJCardName,Text,,HP ADJ -2,,,,,,,,,,,,
Accept,Text,,Accept,接受,接受,,,,,,,承認,,,
RejectedKeywordDescription,Text,,Put X {{MagicS29}} into your deck.,将X张{{MagicS29}}置入你的牌组,將X張{{MagicS29}}置入你的牌組,,,,,,,X枚の{{MagicS29}}をデッキに入れる,,,
RejectedKeywordName,Text,,Backfire,反噬,反噬,,,,,,,反発,,,
SpellPowerKeywordDescription,Text,,Spells deal extra X damage,法术造成伤害提高X,法術造成傷害提高X,,,,,,,魔法ダメージをX増加させる,,,
SpellPowerKeywordName,Text,,Spell Enhancement,法术强化,法術強化,,,,,,,魔法強化,,,
IceKeywordDescription,Text,,Deals extra 1 damage against Frozen targets,对冰冻目标额外造成1次攻击伤害,對冰凍目標額外造成1次攻擊傷害,,,,,,,フリーズ状態のターゲットに追加で1回攻撃ダメージを与える,,,
IceKeywordName,Text,,Ice Pieces,碎冰,碎冰,,,,,,,砕氷,,,
MagicMirrorKeywordDescription,Text,,Reflects the next X times of damage taken back to the attacker.,将下X次受到的伤害，反射给攻击者,將下X次受到的傷害，反射給攻擊者,,,,,,,次のX回の被ダメージを攻撃者に反射する,,,
MagicMirrorKeywordName,Text,,Reflect,反射,反射,,,,,,,反射,,,
AccompliceKeywordDescription,Text,,"If your hero and the unit attack a target unit at the same time in the round, that target will be marked",如果你的英雄和本单位在本轮同时攻击了一个目标单位，则该目标单位被标记,如果你的英雄和本單位在本輪同時攻擊了一個目標單位，則該目標單位被標記,,,,,,,このラウンドに、あなたのヒーローとこのユニットが同じターゲットユニットを攻撃した場合、そのユニットはマークされる,,,
AccompliceKeywordName,Text,,Accomplice,同谋,同謀,,,,,,,共犯者,,,
Achievement Completed,Text,,Achievement Reached,成就达成,成就達成,,,,,,,実績達成,,,
Achievement01CardDescription,Text,,Complete the tutorial and defeat the mad Knight of the Round Table.,完成游戏教程并击败疯狂的圆桌武士,完成遊戲教程並擊敗瘋狂的圓桌武士,,,,,,,ゲームチュートリアルを完了し、狂気の円卓の騎士を倒す,,,
Achievement01CardName,Text,,Complete the Tutorial,完成教程,完成教程,,,,,,,チュートリアルを完了する,,,
Achievement02CardDescription,Text,,Defeat the boss in 1F using the Warrior - Arthur deck,使用战士·亚瑟的卡组击败第一层的首领,使用戰士·亞瑟的卡組擊敗第一層的首領,,,,,,,戦士・アーサーのデッキを使って第一階のボスを倒す,,,
